Time,L_FTC,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,,R_FTC,,,R_FCC,,,R_FM1,,,R_FM2,,,R_FM5,,,L_knee,,,R_knee,,,L_ankle,,,R_ankle,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.21,1148.61,81.2728,896.819,1068.05,218.862,25.4368,863.034,233.829,19.187,863.713,171.832,37.676,921.046,125.152,25.5532,1212.42,424.793,891.758,1589.33,295.01,175.155,1454.55,278.564,40.0287,1455.38,336.328,44.0872,1509.21,385.31,56.1941,1019.08,178.4,489.282,1230.27,348.432,469.618,1006.4,218.156,83.5568,1509.75,314.615,176.651
0.22,1139.23,79.9344,897.7,1067.85,218.916,25.4668,862.92,234.13,18.9726,863.336,172.257,37.8559,920.782,125.436,25.9708,1202.86,423.52,892.501,1577.49,294.719,185.932,1450.86,279.255,43.5095,1452.05,336.733,46.8602,1504.94,385.465,62.5485,1013.21,178.361,489.317,1212.31,349.913,468.7,1005.99,218.661,83.3678,1498.38,315.569,183.368
0.23,1130.15,78.6627,898.511,1067.73,218.996,25.4525,862.858,234.352,18.8716,863.086,172.583,38.0241,920.599,125.715,26.2843,1193.56,422.255,893.166,1564.77,294.21,196.751,1446.1,280.307,47.4352,1447.85,337.407,50.0749,1499.82,385.646,69.5659,1007.78,178.235,489.274,1193.98,351.395,467.908,1005.68,219.099,83.1731,1486.2,316.284,190.207
0.24,1121.38,77.4608,899.271,1067.68,219.088,25.4064,862.839,234.499,18.8335,862.942,172.813,38.1468,920.493,125.961,26.4837,1184.48,421.021,893.76,1551.21,293.477,207.41,1440.11,281.735,51.6875,1442.61,338.378,53.6699,1493.69,385.869,77.1161,1002.75,178.012,489.172,1175.41,352.836,467.319,1005.44,219.462,82.9798,1473.24,316.74,197.073
0.25,1112.88,76.3289,899.996,1067.71,219.183,25.3406,862.854,234.58,18.8229,862.88,172.954,38.2079,920.455,126.153,26.5737,1175.58,419.84,894.304,1536.86,292.524,217.686,1432.73,283.534,56.1253,1436.15,339.654,57.5619,1486.38,386.149,85.025,998.117,177.69,489.028,1156.72,354.199,467.004,1005.27,219.744,82.7966,1459.51,316.933,203.857
0.26,1104.66,75.2649,900.7,1067.78,219.273,25.2662,862.893,234.606,18.8179,862.879,173.019,38.2061,920.472,126.279,26.5694,1166.81,418.735,894.826,1521.77,291.375,227.346,1423.84,285.671,60.5967,1428.28,341.226,61.6514,1477.73,386.506,93.0831,993.855,177.273,488.855,1138.02,355.457,467.014,1005.15,219.949,82.6322,1445.02,316.87,210.433
0.27,1096.66,74.2648,901.389,1067.88,219.351,25.1937,862.947,234.589,18.8077,862.919,173.021,38.1502,920.532,126.335,26.4916,1158.15,417.725,895.365,1506,290.072,236.16,1413.3,288.089,64.951,1418.82,343.061,65.8286,1467.58,386.957,101.057,989.945,176.77,488.663,1119.4,356.591,467.385,1005.07,220.084,82.4939,1429.81,316.573,216.67
0.28,1088.88,73.3237,902.068,1068.01,219.414,25.1321,863.009,234.542,18.7894,862.985,172.975,38.0548,920.621,126.324,26.3635,1149.54,416.824,895.96,1489.61,288.673,243.915,1401.04,290.712,69.0489,1407.61,345.108,69.9788,1455.8,387.518,108.703,986.364,176.193,488.46,1100.93,357.592,468.134,1005.01,220.159,82.3872,1413.89,316.077,222.436
0.29,1081.28,72.4358,902.734,1068.15,219.461,25.0896,863.075,234.476,18.7652,863.063,172.895,37.9367,920.727,126.256,26.207,1140.96,416.042,896.648,1472.68,287.255,250.425,1386.98,293.448,72.7706,1394.53,347.298,73.9871,1442.28,388.199,115.78,983.086,175.556,488.253,1082.68,358.459,469.257,1004.97,220.187,82.3149,1397.31,315.43,227.602
0.3,1073.84,71.5962,903.382,1068.29,219.491,25.0725,863.138,234.399,18.7403,863.146,172.794,37.8117,920.841,126.14,26.0408,1132.38,415.38,897.46,1455.26,285.898,255.537,1371.1,296.199,76.0209,1379.48,349.553,77.7429,1426.98,389.003,122.066,980.084,174.874,488.042,1064.68,359.197,470.737,1004.94,220.181,82.2776,1380.1,314.686,232.049
